firstname,middlename,lastname,year,financedetail,college,boardunitid1,boardunitid2,technology,otherfin,collegeschooltype,pehedge
"alan","","gerry",2003,"non-financial","high school",,,0,0,1,0
"john","elroy","mccaw",2003,"non-financial","university of washington",,,1,0,2,0
"robert","edward","rich",2003," non-financial","state university of new york buffalo",,,0,0,3,0
"l","lowry","mays",2003,"non-financial","texas a&m university",228723,,0,0,2,0
"a","alfred","taubman",2003," non-financial","",,,0,0,4,0
"dorrance","hill","hamilton",2003,"non-financial","high school",,,0,0,1,0
"ray","lee","hunt",2003," non-financial","southern methodist university",,,0,0,1,0
"bernard","a","osher",2003,"commerical banking","bowdoin college",,,0,1,1,0
"stanley","","druckenmiller",2003,"hedge funds","bowdoin college",,,0,0,1,1
"david","a","duffield",2003," non-financial","cornell university",,,1,0,3,0
"jerry","","yang",2003," non-financial","stanford university",,,1,0,3,0
"bruce","r","mccaw",2003,"non-financial","",,,1,0,4,0
"jerry","w","jones",2003," non-financial","university of arkansas",,,0,0,1,0
"jack","crawford","taylor",2003,"non-financial","washington university in st. louis",,,0,0,3,0
"ronald","steven","lauder",2003," non-financial","university of pennsylvania",,,0,0,3,0
"bernard","francis","saul",2003,"venture capital","villanova university",,,0,0,1,1
"john","t","walton",2003,"non-financial","",,,0,0,4,0
"michael","f","price",2003,"hedge funds","university of oklahoma",162928,,0,0,1,1
"david","sr","rockefeller",2003," non-financial","harvard university",,,0,0,3,0
"edward","g","watkins",2003,"non-financial","",,,1,0,4,0
"john","willard","marriott",2003," non-financial","university of utah",,,0,0,2,0
"charles","r","schwab",2003,"investment banking","stanford university",243744,,0,1,3,0
"e","pierce","marshall",2003,"non-financial","pomona college",,,0,0,1,0
"h","ty","warner",2003,"non-financial","kalamazoo college",,,0,0,1,0
"warren","edward","buffett",2003,"asset management","university of nebraska",,,0,1,1,0
"patrick","joseph","mcgovern",2003," non-financial","massachusetts institute of technology",166683,,0,0,3,0
"george","phydias","mitchell",2003," non-financial","texas a&m university",,,0,0,2,0
"gerald","j","ford",2003,"investment banking","southern methodist university",,,0,1,1,0
"roger","","milliken",2003," non-financial","yale university",,,0,0,3,0
"charles","t","munger",2003,"asset management","california institute of technology",,,0,1,3,0
"james","c","france",2003,"non-financial","florida southern college",,,0,0,1,0
"peter","benjamin","lewis",2003,"non-financial","princeton university",186131,,0,0,3,0
"nancy","lerner","beck",2003,"non-financial","university of cincinnati",,,0,0,2,0
"william","s","levine",2003,"non-financial","new york university",,,0,0,3,0
"s","robson","walton",2003," non-financial","university of arkansas",,,0,0,1,0
"mitchell","","rales",2003," non-financial","miami university",,,0,0,1,0
"cordelia","scaife","may",2003,"venture capital","",,,0,0,4,1
"gordon","earle","moore",2003," non-financial","university of california berkeley",110404,,1,0,2,0
"donald","john","tyson",2003,"non-financial","",,,0,0,4,0
"arthur","l","williams",2003,"non-financial","mississippi state university",,,0,0,1,0
"walter","jr","scott",2003," non-financial","colorado state university",,,0,0,1,0
"carl","","icahn",2003,"private equity","princeton university",,,0,0,3,1
"william","","bowes",2003,"venture capital","stanford university",,,0,0,3,1
"richard","edward","rainwater",2003,"asset management","university of texas austin",,,0,1,2,0
"john","thomas","lupton",2003," non-financial","university of north carolina",,,0,0,2,0
"norman","w","waitt",2003,"non-financial","morningside college",,,0,0,1,0
"frederick","wallace","smith",2003," non-financial","yale university",,,0,0,3,0
"grover","","connell",2003," non-financial","columbia university",,,0,0,3,0
"roy","edward","disney",2003," non-financial","pomona college",,,0,0,1,0
"richard","mellon","scaife",2003,"commercial banking","university of pittsburgh",,,0,1,1,0
"david","hamilton","koch",2003," non-financial","massachusetts institute of technology",162928,166683,0,0,3,0
"jerome","spiegel","kohlberg",2003,"private equity","columbia university",190150,190150,0,0,3,1
"jeffrey","p","bezos",2003,"non-financial","princeton university",,,1,0,3,0
"patrick","","soon-shiong",2003," non-financial","university of witwatersrand",,,0,0,1,0
"henry","","samueli",2003," non-financial","university of california los angeles",,,1,0,2,0
"donald","l","bren",2003," non-financial","university of washington",110404,,0,0,2,0
"lester","and","crown",2003,"other financial","northwestern university",147767,,0,1,3,0
